Genre,Title,Price,UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Availability,Number of reviews
Travel,It's Only the Himalayas,£45.17,a22124811bfa8350,Books,£45.17,£45.17,£0.00,In stock (19 available),0
Travel,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,ce60436f52c5ee68,Books,£49.43,£49.43,£0.00,In stock (15 available),0
Travel,See America: A Celebration of Our National Parks & Treasured Sites,£48.87,f9705c362f070608,Books,£48.87,£48.87,£0.00,In stock (14 available),0
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,1809259a5a5f1d8d,Books,£36.94,£36.94,£0.00,In stock (8 available),0
Travel,Under the Tuscan Sun,£37.33,a94350ee74deaa07,Books,£37.33,£37.33,£0.00,In stock (7 available),0
Travel,A Summer In Europe,£44.34,cc1936a9f4e93477,Books,£44.34,£44.34,£0.00,In stock (7 available),0
Travel,The Great Railway Bazaar,£30.54,48736df57e7bec9f,Books,£30.54,£30.54,£0.00,In stock (6 available),0
Travel,A Year in Provence (Provence #1),£56.88,9e60929f521fa280,Books,£56.88,£56.88,£0.00,In stock (6 available),0
Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,366a236aa1ea6f07,Books,£23.21,£23.21,£0.00,In stock (3 available),0
Travel,Neither Here nor There: Travels in Europe,£38.95,747cf7fca2ccdbd4,Books,£38.95,£38.95,£0.00,In stock (3 available),0
Travel,"1,000 Places to See Before You Die",£26.08,228ba5e7577e1d49,Books,£26.08,£26.08,£0.00,In stock (1 available),0
Mystery,Sharp Objects,£47.82,e00eb4fd7b871a48,Books,£47.82,£47.82,£0.00,In stock (20 available),0
Mystery,"In a Dark, Dark Wood",£19.63,19ed25f4641d5efd,Books,£19.63,£19.63,£0.00,In stock (18 available),0
Mystery,The Past Never Ends,£56.50,5ee94540d0749ea0,Books,£56.50,£56.50,£0.00,In stock (16 available),0
Mystery,A Murder in Time,£16.64,f733e8c19d40ec2e,Books,£16.64,£16.64,£0.00,In stock (16 available),0
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,c7b5183f4d1d4efe,Books,£44.10,£44.10,£0.00,In stock (15 available),0
Mystery,The Last Mile (Amos Decker #2),£54.21,3bc89353f7e3a3cc,Books,£54.21,£54.21,£0.00,In stock (14 available),0
Mystery,That Darkness (Gardiner and Renner #1),£13.92,0c7b9cf2b7662b65,Books,£13.92,£13.92,£0.00,In stock (14 available),0
Mystery,Tastes Like Fear (DI Marnie Rome #3),£10.69,2d1e337aaf341858,Books,£10.69,£10.69,£0.00,In stock (14 available),0
